director,stars,country,url,Release Year,Released,plot
Simon Nam,"Fan Siu-Wong, Philip Kwok",Hong KongJapan,https://en.wikipedia.org/wiki/Riki-Oh:_The_Story_of_Ricky,1991,10/5/1991,A young man with superhuman strength is incarcerated at a prison run by corrupt officials and seeks to use his martial arts to clean up the system. EN
Corey Yuen,"Andy Lau, Anita Mui, Kenny Bee",Hong Kong,https://en.wikipedia.org/wiki/Savior_of_the_Soul,1991,12/19/1991,"A graying black-clad swordsman slays palace guards, as he flies through the air to an uncertain purpose. Centuries (or is it days?) later, gun-toting, Armani-clad super policemen -- Hong Kong's Saviours -- are devastated by a cloaked assassin. Kinetic medieval fantasy; overstructured, outgunned urban nightmare. And that's only the first ten minutes! A highly entertaining, eye-popping genre bender in every way."
Craig R. Baxley,"Brian Bosworth, Lance Henriksen, William Forsythe",United States,https://en.wikipedia.org/wiki/Stone_Cold_(1991_film),1991,NULL,A tough Alabama cop is blackmailed by the FBI into going undercover in a violent Mississippi biker gang. EN
He Ping,"Wei Gao, Mana Zhao",China,https://en.wikipedia.org/wiki/Swordsmen_in_Double_Flag_Town,1991,NULL,"A teenage lad arrives at Double Flag Town to claim his betrothed bride, when he encounters a group of outlaws and kills one of them. A vendetta is expected."
Michael Pressman,"Paige Turco, David Warner, Ernie Reyes Jr.",United States,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles_II:_The_Secret_of_the_Ooze,1991,3/22/1991,"The Turtles and the Shredder battle once again, this time for the last canister of the ooze that created the Turtles, with which Shredder wants to unleash an army of new mutants. EN"
Tony Scott,"Bruce Willis, Damon Wayans",United States,https://en.wikipedia.org/wiki/The_Last_Boy_Scout,1991,12/13/1991,"A private detective's protected female witness is murdered, prompting him and the victim's boyfriend to investigate the crime that leads to a corrupt politician and a crooked football team owner. EN"
Joseph Merhi ,"Lorenzo Lamas, Kathleen Kinmont, O. J. Simpson ",United States ,https://en.wikipedia.org/wiki/CIA_Code_Name:_Alexa,1992,9/24/1992,A terrorist couple is pitted against each other when the female counterpart is captured by C.I.A. agents. They convince her to help them bring down the dangerous group in this violent actioner.
Robert Rodriguez,"Carlos Gallardo, Consuelo Gomez, Reinol Martinez",United States,https://en.wikipedia.org/wiki/El_Mariachi,1992,9/15/1992,A traveling mariachi is mistaken for a murderous criminal and must hide from a gang bent on killing him.
Gordon Chan,Stephen Chow,Hong Kong,https://en.wikipedia.org/wiki/King_of_Beggars,1992,12/17/1992,"The spoilt son of a millionaire finds the love of his life, but she will only accept him if he proves himself as a kung-fu master. He enters and wins the ""Kung-Fu Scholar"" tournament, ... See full summary »"
Tsui Hark,"Jet Li, Rosamund Kwan, Donnie Yen",Hong Kong,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_China_II,1992,4/16/1992,"In the sequel to the Tsui Hark classic, Wong Fei-Hung faces The White Lotus society, a fanatical cult seeking to drive the Europeans out of China through violence, even attacking Chinese ... See full summary »"
Kevin Hooks,"Wesley Snipes, Bruce Payne, Tom Sizemore",United States,https://en.wikipedia.org/wiki/Passenger_57,1992,11/6/1992,An airline security expert must take action when he finds himself trapped on a passenger jet when terrorists seize control of it. EN
Phillip Noyce,"Harrison Ford, Anne Archer, Sean Bean",United States,https://en.wikipedia.org/wiki/Patriot_Games_(film),1992,6/5/1992,"When CIA analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets him and his family for revenge. EN"
Roger Spottiswoode,"Sylvester Stallone, Estelle Getty",United States,https://en.wikipedia.org/wiki/Stop!_Or_My_Mom_Will_Shoot,1992,2/21/1992,A tough police sergeant's overbearing mother comes to visit him and begins to meddle in his life and career.
Michael Pressman,"Paige Turco, David Warner, Ernie Reyes Jr.",United States,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles_II:_The_Secret_of_the_Ooze,1991,3/22/1991,"The Turtles and the Shredder battle once again, this time for the last canister of the ooze that created the Turtles, with which Shredder wants to unleash an army of new mutants. EN"
Tony Scott,"Bruce Willis, Damon Wayans",United States,https://en.wikipedia.org/wiki/The_Last_Boy_Scout,1991,12/13/1991,"A private detective's protected female witness is murdered, prompting him and the victim's boyfriend to investigate the crime that leads to a corrupt politician and a crooked football team owner."
Joseph Merhi ,"Lorenzo Lamas, Kathleen Kinmont, O. J. Simpson ",United States ,https://en.wikipedia.org/wiki/CIA_Code_Name:_Alexa,1992,9/24/1992,A terrorist couple is pitted against each other when the female counterpart is captured by C.I.A. agents. They convince her to help them bring down the dangerous group in this violent actioner.
Robert Rodriguez,"Carlos Gallardo, Consuelo Gomez, Reinol Martinez",United States,https://en.wikipedia.org/wiki/El_Mariachi,1992,9/15/1992,A traveling mariachi is mistaken for a murderous criminal and must hide from a gang bent on killing him. EN
Gordon Chan,Stephen Chow,Hong Kong,https://en.wikipedia.org/wiki/King_of_Beggars,1992,12/17/1992,"The spoilt son of a millionaire finds the love of his life, but she will only accept him if he proves himself as a kung-fu master. He enters and wins the ""Kung-Fu Scholar"" tournament, little realizing that this victory will lead to him becoming penniless, homeless and sleepy. One day, while sleeping under a tree, he encounters a beggar he helped when he was still rich."
Tsui Hark,"Jet Li, Rosamund Kwan, Donnie Yen",Hong Kong,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_China_II,1992,4/16/1992,"In the sequel to the Tsui Hark classic, Wong Fei-Hung faces The White Lotus society, a fanatical cult seeking to drive the Europeans out of China through violence, even attacking Chinese who follow Western ways. Wong must also defend Dr. Sun Yat Sen, a revolutionary, from the military. With his friends, loved ones, and the future of China itself at stake, Wong must once again use his martial arts skills to defend the innocent."
Kevin Hooks,"Wesley Snipes, Bruce Payne, Tom Sizemore",United States,https://en.wikipedia.org/wiki/Passenger_57,1992,11/6/1992,An airline security expert must take action when he finds himself trapped on a passenger jet when terrorists seize control of it.
Phillip Noyce,"Harrison Ford, Anne Archer, Sean Bean",United States,https://en.wikipedia.org/wiki/Patriot_Games_(film),1992,6/5/1992,"When CIA analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets him and his family for revenge. EN"
Roger Spottiswoode,"Sylvester Stallone, Estelle Getty",United States,https://en.wikipedia.org/wiki/Stop!_Or_My_Mom_Will_Shoot,1992,2/21/1992,A tough police sergeant's overbearing mother comes to visit him and begins to meddle in his life and career. EN
Walter Hill,"Bill Paxton, Ice-T, Bill Sadler",United States,https://en.wikipedia.org/wiki/Trespass_(1992_film),1992,12/25/1992,"As they're held for ransom, a husband and wife's predicament grows more dire amid the discovery of betrayal and deception."
Roland Emmerich,"Jean-Claude Van Damme, Dolph Lundgren, Ally Walker",United States,https://en.wikipedia.org/wiki/Universal_Soldier_(1992_film),1992,7/10/1992,Two rival soldiers who were killed in Vietnam are brought back to life in a top secret military experiment that creates superhuman warriors. EN
Bobby Gene Leonard,"David Bradley, Norman Burton, Anne Dupont",United States,https://en.wikipedia.org/wiki/American_Ninja_V,1993,7/10/1993,"When a scientists daughter is kidnapped, American Ninja (David Bradley), attempts to find her, but this time he teams up with a youngster he has trained in the ways of the ninja."
Robert Radler,"Eric Roberts, Phillip Rhee, Chris Penn",United States,https://en.wikipedia.org/wiki/Best_of_the_Best_2,1993,3/5/1993,"In an underground fight club, blackbelt Travis Brickley is killed after losing to the evil martial arts master Brakus. Travis' death is witnessed by Walter Grady, the son of his best friend Alex Grady. Alex and his partner, Tommy Lee, vow to avenge their friend's death by defeating Brakus and shutting down the fight club. Written by Jean-Marc Rocher <rocher@fiberbit.net>"
Ching Siu Tung,"Anita Mui, Michelle Yeoh, Maggie Cheung",Hong Kong,https://en.wikipedia.org/wiki/Executioners_(film),1993,9/30/1993,"The all-female Heroic Trio are Tung (Wonder Woman), Chat (Thief Catcher), a mercenary, and Ching (Invisible Woman). Initially, they're on opposing sides - the invisible Ching is kidnapping ... See full summary » EN"
Corey Yuen,"Jet Li, Josephine Siao Fong-fong",Hong Kong,https://en.wikipedia.org/wiki/Fong_Sai-Yuk_(1993_film),1993,3/4/1993,"This Hong Kong martial-arts extravaganza tells of evil emperors and true love. The secret Red Lotus Flower Society is committed to the overthrow of the evil Manchu Emperor and his minions. One of his Governors is sent on a mission to retrieve a list of members of that secret society. Meanwhile, Canton kung fu practitioner Fong Sai-Yuk falls in love with the beautiful daughter of a rich merchant, recently moved to Canton. Her father, in an attempt to gain influence in the region and thus improve his business, offers his daughter in marriage to the winner of a kung-fu contest. Some interesting gender role-reversals take place during a 'comedy of errors.'"
Corey Yuen,"Jet Li, Sibelle Hu, Amy Kwok",Hong Kong,https://en.wikipedia.org/wiki/Fong_Sai-yuk_II,1993,7/30/1993,"The Cantonese hero Fong Sai Yuk becomes involved in the secret brotherhood ""The Red Flower"", who are trying to overthrow the Manchurian emperor and re-establishing the Ming dynasty. The ... See full summary »"
John Woo,"Jean-Claude Van Damme, Lance Henriksen, Arnold Vosloo",United States,https://en.wikipedia.org/wiki/Hard_Target,1993,8/20/1993,"A woman hires a drifter as her guide through New Orleans in search of her father, who has gone missing. They discover a deadly game of cat and mouse behind his disappearance in the process. EN"
Yuen Woo Ping,"Donnie Yen, Ng Man Tat, Ying Ng",Hong Kong,https://en.wikipedia.org/wiki/Hero_Among_Heroes,1993,11/11/1993,"Action-packed as usual with Donnie Yen kicking his adversaries in the role of ""Beggar Su"". Basic plot revolves around a young Beggar Su getting addicted to opium and manipulated by a ... See full summary » EN"
Stephen Hopkins,"Emilio Estevez, Cuba Gooding Jr., Denis Leary",United States,https://en.wikipedia.org/wiki/Judgment_Night_(film),1993,10/15/1993,"Four friends on their way to a boxing match get caught in heavy traffic, so they take a shortcut in order to get there faster, unfortunately it leads to them witnessing a murder which leaves them running for their lives."
John McTiernan,"Arnold Schwarzenegger, Austin O'Brien, F. Murray Abraham",United States,https://en.wikipedia.org/wiki/Last_Action_Hero,1993,6/13/1993,"With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character."
"William Lustig, Joel Soisson","Robert Davi, Caitlin Dulany, Gretchen Becker",United States,https://en.wikipedia.org/wiki/Maniac_Cop_3:_Badge_of_Silence,1993,7/7/1993,"A priest practicing the Voodoo arts resurrects Matt Cordell, who takes his badge and comes back from the dead to do his bidding."
Albert Magnoli ,"Jeff Speakman, Christopher Neame, Bernie Casey ",United States ,https://en.wikipedia.org/wiki/Street_Knight,1993,3/12/1993,A former cop returns to challenge a plot to escalate gang violence in the streets of Los Angeles.
Yuen Woo Ping,"Jet Li, Michelle Yeoh",Hong Kong,https://en.wikipedia.org/wiki/Tai_Chi_Master_(1993_film),1993,11/18/1993,"Two friends, ex Shaolin monks, part ways as they brush with the ongoing rebellion against the government. The ambitious one rises up to be a powerful military commander, while his betrayed friend resorts to learn the calm ways of Tai Chi."
Clarence Fok,"Clarence Fok, Tony Leung Kar-Fai, Brigitte Lin",Hong Kong,https://en.wikipedia.org/wiki/The_Black_Panther_Warriors,1993,11/18/1993,"Black Cougar is a mercenary who is being paid a huge sum of money by an unknown person to recover a top secret file. Realising the enormity and complexity of the task, he enlists the help of a dummy-sucking computer hacker, a sex-maniacal weapons specialist, and a charismatic 'God of Gamblers' to help him out. When he gets double-crossed by the unknown person. He sets out to seek and destroy him, with the help of his friends. He is in for a shock when he finds out what is in the file, and who the unknown person is. Written by Anonymous"
Ronny Yu,"Brigitte Lin, Leslie Cheung, Nam Kit-Ying",Hong Kong,https://en.wikipedia.org/wiki/The_Bride_with_White_Hair,1993,8/26/1993,"Cho Yat-Hang, the unwilling successor to the Wu-Tang clan throne and the unsure commander of the clan's forces in a war against an evil cult, falls in forbidden love with Lien Ni-Chang, a killer for the evil cult."
Jeffrey Lau,"Leslie Cheung, Jacky Cheung, Tony Leung Chiu-Wai",Hong Kong,https://en.wikipedia.org/wiki/The_Eagle_Shooting_Heroes,1993,2/5/1993,"A parody of Louis Cha's renowned novel The Legend of the Condor Heroes. The story begins with the Queen of Golden Wheel Kingdom and having an affair with her cousin West Poison, both of whom are planning to take over the Kingdom. The 3rd Princess discovered their treason but she was defeated by West Poison. She flees and sought for her master's help. He spoke of a powerful secret martial arts manual hidden in the mountains, which if she could retrieve and learn, she would be able to defeat West Poison. But things get complicated along the way when West Poison beat her to it and stole the secret manual away. She soon gathers an alliance to challenge West Poison's exponentially increased new power. Written by theunraveler"
John Landis,"Eddie Murphy, Judge Reinhold, Hector Elizondo",United States,https://en.wikipedia.org/wiki/Beverly_Hills_Cop_III,1994,5/25/1994,"Axel Foley, while investigating a car theft ring, comes across something much bigger than that: the same men who killed his boss are running a counterfeit money ring out of a theme park in Los Angeles."
Lau Kar-Leung,"Jackie Chan, Ti Lung",Hong Kong,https://en.wikipedia.org/wiki/Drunken_Master_II,1994,2/3/1994,A young martial artist is caught between respecting his pacifist father's wishes or stopping a group of disrespectful foreigners from stealing precious artifacts. EN
Wong Jing,"Chow Yun-Fat, Charles Heung, Tony Leung Kar-Fai",Hong Kong,https://en.wikipedia.org/wiki/God_of_Gamblers%27_Return,1994,12/15/1994,"Ko Chun, the God of Gamblers, returns living a wealthy life, but a rival appears, killing the God of Gamblers pregnant wife and soon to be son. Before dying, his wife tells him not to gamble for one year and not to reveal his identity as the God of Gamblers. A year almost passes, and the gambler lives a forgiving life, until the man who kills his wife appears, taking revenge into his own hands..... Written by Victor Nguyen <nguyens@flash.net>"
Aaron Norris,"Chuck Norris, Calvin Levels, Christopher Neame",United States,https://en.wikipedia.org/wiki/Hellbound_(film),1994,1/21/1994,"Shatter and Jackson, two Chicago police officers, are investigating the brutal murder of a rabbi and are summoned to Israel for questioning. While they are in Israel they continue their investigation there on some leads they have. After a while they begin to understand that they are trying to catch a supernatural being, and if they don't do it fast something terrible will happen. Written by Lars J. Aas <larsa@colargol.edb.tih.no>"
Martin Campbell,"Ray Liotta, Lance Henriksen, Stuart Wilson",United States,https://en.wikipedia.org/wiki/No_Escape_(1994_film),1994,4/21/1994,"A social media personality travels with his friends to Moscow to capture new content for his successful VLOG. Always pushing the limits and catering to a growing audience, they enter a cold world of mystery, excess, and danger."
Ernest R. Dickerson,"Ice-T, Rutger Hauer, Charles S. Dutton",United States,https://en.wikipedia.org/wiki/Surviving_the_Game,1994,4/15/1994,"A homeless man is hired as a survival guide for a group of wealthy businessmen on a hunting trip in the mountains, unaware that they are killers who hunt humans for sport, and that he is their new prey."
Corey Yuen,"Jet Li, Christy Chung, Kent Cheng",Hong Kong,https://en.wikipedia.org/wiki/The_Bodyguard_from_Beijing,1994,7/28/1994,"A corrupt businessman commits a murder and the only witness is the girlfriend of another businessman with close connections to the Chinese government, so a bodyguard from Beijing is dispatched to help two Hong Kong cops protect the witness. Complications arise when the bodyguard and the witness must confront their deep feelings for one another."
Adam Rifkin,"Charlie Sheen, Kristy Swanson, Henry Rollins",United States,https://en.wikipedia.org/wiki/The_Chase_(1994_film),1994,3/4/1994,The escape of Bubber Reeves from prison affects the inhabitants of a small Southern town. EN
Yuen Woo Ping,"Michelle Yeoh, Donnie Yen, Cheng Pei-pei",Hong Kong,https://en.wikipedia.org/wiki/Wing_Chun_(film),1994,3/24/1994,"Wing Chun, a woman living in a remote village often pillaged by robbers. When Wing Chun finally loses her cool and defeats them, her heroic actions stir up even more trouble in this male-based society of the time. The climactic battle to the death is a dazzler. Written by Towne 3, San Jose, Ca"
Phillip Rhee ,"Phillip Rhee, Christopher McDonald, Gina Gershon ",United States ,https://en.wikipedia.org/wiki/Best_of_the_Best_3:_No_Turning_Back,1995,5/17/1995,"While visiting his sister, Tommy Lee discovers a band of ruthless white supremacists is planning to shatter the peace of a small rural community. But what these thugs don't realize is that with Tommy, they're in for the fight of their lives. With the help of an honorable sheriff and a headstrong young teacher, Tommy battles back against the hateful group, waging war with everything he has to protect the town. Now, there's no turning back."
Frank Marshall,"Dylan Walsh, Laura Linney, Ernie Hudson",United States,https://en.wikipedia.org/wiki/Congo_(film),1995,6/9/1995,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong. EN"
John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson",United States,https://en.wikipedia.org/wiki/Die_Hard_with_a_Vengeance,1995,5/19/1995,"John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building. EN"
Wolfgang Petersen,"Dustin Hoffman, Rene Russo, Morgan Freeman",United States,https://en.wikipedia.org/wiki/Outbreak_(film),1995,3/10/1995,Army doctors struggle to find a cure for a deadly virus spreading throughout a California town that was brought to America by an African monkey. EN
Stanley Tong,"Jackie Chan, Anita Mui, Bill Tung",Hong Kong,https://en.wikipedia.org/wiki/Rumble_in_the_Bronx,1995,1/21/1995,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills. EN
Louis Mourneau ,"Michael Dudikoff, Cary-Hiroyuki Tagawa, Tyrin Turner ",United States ,https://en.wikipedia.org/wiki/Soldier_Boyz,1995,10/18/1995,A group of prisoners are going to Vietnam to rescue the daughter of a V-I.P. The Ones who survive get their freedom back...but hell awaits them.
Rachel Talalay,"Lori Petty, Malcolm McDowell, Ice-T",United States,https://en.wikipedia.org/wiki/Tank_Girl_(film),1995,3/31/1995,"A girl is among the few survivors of a dystopian Earth. Riding a war tank, she fights against the tyranny of a mega-corporation that dominates the remaining potable water supply of the planet."
William Lustig ,"Jeff Speakman, James Brolin, Jim Varney ",United States ,https://en.wikipedia.org/wiki/The_Expert_(1995_film),1995,4/6/1995,"Johnny's sister is brutally attacked and murdered by a sadistic serial killer. At the trial, he is sentenced to be electrocuted, but a bleeding heart liberal has the sentence commuted to a ... See full summary » EN"
Aaron Norris,"Chuck Norris, Clyde Kusatsu, Michele Lamar Richards",United States,https://en.wikipedia.org/wiki/Top_Dog_(1995_film),1995,4/28/1995,"With his cop companion shot and killed by terrorists, Reno The Dog pairs up with tough cop Jake in thwarting the criminal organization."
Patrick Leung,"Lau Ching-Wan, Wu Chien-lien, Han Sang-woo",Hong Kong,https://en.wikipedia.org/wiki/Beyond_Hypothermia_(film),1996,10/18/1996,"A mysterious and highly skilled hitwoman in Hong Kong is paid to assassinate top-level crime bosses. After striking up a relationship with a noodle vendor, she decides to travel to South Korea to complete one last job. Unfortunately, the dead man's bodyguard is out for revenge. Written by Trey Evans"
Daniel Lee,Jet Li,Hong Kong,https://en.wikipedia.org/wiki/Black_Mask_(film),1996,11/9/1996,A survivor of a supersoldier project must fight his former comrades as a masked hero. EN
Ernest R. Dickerson,"Damon Wayans, Adam Sandler",United States,https://en.wikipedia.org/wiki/Bulletproof_(1996_film),1996,9/6/1996,"Two criminals, Keats and Moses, end their friendship, when Keats turns out to be an undercover cop. Many years later, the two are forced to work together when Keats is assigned to protect Moses as a witness."
Ching Siu Tung,"Takeshi Kaneshiro, Charlie Yeung, Jet Li",Hong Kong,https://en.wikipedia.org/wiki/Dr._Wai_in_%22The_Scripture_with_No_Words%22,1996,3/14/1996,"A serial adventure writer with problems in his personal life lives out the adventures of his literary hero, King of Adventurers."
Chuck Russell,"Arnold Schwarzenegger, James Caan, Vanessa L. Williams",United States,https://en.wikipedia.org/wiki/Eraser_(film),1996,6/21/1996,A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.
Stuart Baird,"Kurt Russell, Halle Berry, John Leguizamo",United States,https://en.wikipedia.org/wiki/Executive_Decision,1996,3/15/1996,"When terrorists seize control of an airliner, an intelligence analyst accompanies a commando unit for a midair boarding operation. EN"
Brian De Palma,"Tom Cruise, Jon Voight, Emmanuelle Béart",United States,https://en.wikipedia.org/wiki/Mission:_Impossible_(film),1996,5/22/1996,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization."
Peter Svatek,"Roddy Piper, Jayne Heitmeyer, Billy Drago",United States,https://en.wikipedia.org/wiki/Sci-Fighters,1996,12/30/1996,"Boston, 2009. A police detective (Roddy Piper) searches for Adrian Dunn, his ex-partner (Billy Drago) who murdered his wife. Dunn has escaped from prison on the moon and returned to Earth with an alien virus. Written by Peter Svatek <svatek@aei.ca>"
Tim Pope,"Vincent Perez, Mia Kirshner, Richard Brooks",United States,https://en.wikipedia.org/wiki/The_Crow:_City_of_Angels,1996,8/30/1996,The spirit of the Crow resurrects another man seeking revenge for the murder of his son.
Robert Mandel,"Tom Berenger, Ernie Hudson, Diane Venora",United States,https://en.wikipedia.org/wiki/The_Substitute,1996,4/19/1996,Mercenary Shale's team is retired after a (not so) covert mission in Cuba. He becomes substitute teacher at his teacher fiancee's Miami high school to get those behind kneecapping her. His team helps him. EN
Jan de Bont,"Helen Hunt, Bill Paxton, Cary Elwes",United States,https://en.wikipedia.org/wiki/Twister_(1996_film),1996,5/10/1996,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes."
Andrew Lau,"Chan Sau-yu, Jordan Chan",Hong Kong,https://en.wikipedia.org/wiki/Young_and_Dangerous,1996,1/26/1996,"Nam opens a bar in Wanchai and continues his rise in Hong Kong's Hung Hing gang. His best friend, Chicken, needs to lie low, so he's sent to Taiwan to work for Lui, leader of the San Luen gang; there, he falls for the aging Lui's mistress, Ting Yiu. When Chicken returns to Hong Kong, he finds Nam in a struggle with long time rival, Fai Fat. Then, Lui shows up, demanding that Hung Hing sell him a half interest in their new Macau casino. When Chiang, the Hung Hing boss, wants to think about it, Lui threatens war, Chicken must choose sides, and Ting Yui sets up a meeting. Chicken's affections, Fai and Nam's rivalry, Lui's greed, and Ting's intentions are on a collision course. Written by <jhailey@hotmail.com>"
Andrew Lau,"Jordan Chan, Cheng Yee-kin, Yau Chingmy",Hong Kong,https://en.wikipedia.org/wiki/Young_and_Dangerous_2,1996,3/30/1996,The story is told in two parts: the first focuses on Chicken and his exile in Taiwan skipped over in the first film. The second half deals with the Hung Hing Society trying to ally with Chicken's Taiwanese triad.
Joel Schumacher,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell",United States,https://en.wikipedia.org/wiki/Batman_%26_Robin_(film),1997,6/12/1997,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.
Tsui Hark,"Jean-Claude Van Damme, Dennis Rodman, Mickey Rourke",United States,https://en.wikipedia.org/wiki/Double_Team_(film),1997,4/4/1997,An international spy teams up with an arms dealer to escape from a penal colony and rescue his family from a terrorist.
John Woo,"Nicolas Cage, John Travolta, Joan Allen",United States,https://en.wikipedia.org/wiki/Face/Off,1997,6/27/1997,"In order to foil a terrorist plot, an FBI agent undergoes facial transplant surgery and assumes the identity of a criminal mastermind, who murdered his only son. The plan turns sour when the criminal wakes up prematurely and seeks revenge."
Ringo Lam,"Lau Ching-Wan, Francis Ng, Blacky Ko",Hong Kong,https://en.wikipedia.org/wiki/Full_Alert_(film),1997,7/18/1997,"Police Inspector Pao is trying to catch Mak Kwan, a gang member who is first arrested, but then escapes from the prison. By chance, Pao realizes that the target of Kwan's gang is the H.K. Jockey Club."
Brett Ratner,"Chris Tucker, Charlie Sheen, Paul Sorvino",United States,https://en.wikipedia.org/wiki/Money_Talks_(1997_film),1997,8/22/1997,"Sought by police and criminals, a small-time huckster makes a deal with a TV newsman for protection. EN"
Mark A.Z. Dippé,"Michael Jai White, John Leguizamo, Martin Sheen",United States,https://en.wikipedia.org/wiki/Spawn_(1997_film),1997,8/1/1997,"An elite mercenary is killed, but comes back from Hell as a reluctant soldier of the Devil. EN"
Jan de Bont,"Sandra Bullock, Jason Patric, Willem Dafoe",United States,https://en.wikipedia.org/wiki/Speed_2:_Cruise_Control,1997,6/13/1997,A computer hacker breaks into the computer system of the Seabourn Legend cruise liner and sets it speeding on a collision course into a gigantic oil tanker.
Luc Besson,"Bruce Willis, Gary Oldman, Milla Jovovich",France,https://en.wikipedia.org/wiki/The_Fifth_Element,1997,5/7/1997,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
Michael Caton-Jones,"Bruce Willis, Richard Gere, Sidney Poitier",United States,https://en.wikipedia.org/wiki/The_Jackal_(1997_film),1997,11/14/1997,"An imprisoned I.R.A. fighter is freed to help stop a brutal, seemingly ""faceless"" assassin from completing his next job."
Mimi Leder,"George Clooney, Nicole Kidman",United States,https://en.wikipedia.org/wiki/The_Peacemaker_(1997_film),1997,9/26/1997,A US Army colonel and a civilian woman supervising him must track down stolen Russian nuclear weapons before they're used by terrorists.
Andrew Lau,"Cheng Yee-kin, Jordan Chan",Hong Kong,https://en.wikipedia.org/wiki/Young_and_Dangerous_4,1997,3/28/1997,"The boss of the Hung Hing gang, Tian Sang, has died. Ho Nam and Hon Bun find Sangs younger brother, Yang to lead the gang. Meanwhile, Hon Bun receives news that his younger brother, a leader of the Tuen Mun gang has been assasinated. They travel to Hong Kong to settle the matter."
Johnnie To,"Leon Lai, Lau Ching-Wan, Fiona Leung",Hong Kong,https://en.wikipedia.org/wiki/A_Hero_Never_Dies,1998,9/30/1998,"Jack and Martin are members of rival Chinese triads in the middle of a gang war. Both of their gang leaders like to get advice from a fortune teller living in Thailand. On one such trip, ... See full summary »"
Jeremiah S. Chechik,"Uma Thurman, Ralph Fiennes, Sean Connery",United States,https://en.wikipedia.org/wiki/The_Avengers_(1998_film),1998,8/14/1998,A quirky spy show of the adventures of eccentrically suave British Agent John Steed and his predominately female partners.
Joe Carnahan,"Dan Leis, Joe Carnahan, Dan Harlan",United States,"https://en.wikipedia.org/wiki/Blood,_Guts,_Bullets_and_Octane",1997,New York Independent Feature Film Market,"A Cherry Pontiac Lemans Convertible...Two Days...Two-Hundred & Fifty Grand. When your lemon lot hits the skids you glom the gig no matter what the smell. For Bob and Sid, two slicked-back burnouts, bum luck runs in spades. With a goose-egg for cash flow and a fore-closure falling fast, they take the gig. The Upside: Fat Cash...The Flipside...Every Thug, Crook, Punk and Mercenary on the planet looking to get rich. Written by <Joeskilub@aol.com>"
Corey Yuen ,"Shannon Lee, Michael Wong, Jordan Chan, Anita Yuen, Benny Urquidez ",Hong Kong ,https://en.wikipedia.org/wiki/Enter_the_Eagles,1998,10/1/1998,"Professional thief Martin is assigned to steal the largest diamond in the Czech Repbulic, the Czar's Prism for $3M. Needing extra help, Martin brings in his former partner Mandy, an excellent sharpshooter with lethal martial arts skills. Together with two young pickpockets, the group sets out in an adventure of espionage, double-crossing, and explosive action. Written by Albert Valentin <albval@hotmail.com>"
Raymond Yip Wai Man,"Sandra Ng, Kristy Yeung, Alex Fong Chung-sun",Hong Kong,https://en.wikipedia.org/wiki/Portland_Street_Blues,1998,2/21/1998,"Following Sister Thirteen, from her teenage years, her bisexual love life, to her eventual rise to power as a Triad kingpin within the Hung Hing Society, in this spin-off to the Young & Dangerous series."
Katsuhito Ishii,"Tadanobu Asano, Sie Kohinata, Ittoku Kishibe",Japan,https://en.wikipedia.org/wiki/Shark_Skin_Man_and_Peach_Hip_Girl,1999,1999,"In dreamlike mountain scenery, Toshiko makes a daring escape from her sexually warped Uncle Sonezaki. Fortunately, she met Samehada as she runs for her life, which is also escaping from some slayers. What follows is a wild chase that leads the audience into a comically violent world. Written by L.H. Wong <lhw@sfs.org.sg>"
Antoine Fuqua,"Chow Yun-fat, Mira Sorvino",United States,https://en.wikipedia.org/wiki/The_Replacement_Killers,1998,2/6/1998,"A troubled hitman seeks aid from a forger to help him get papers to China. However, the drug lord has hired replacements to finish the job, and kill the hitman."
Andrew Lau,"Aaron Kwok, Ekin Cheng, Sonny Chiba",Hong Kong,https://en.wikipedia.org/wiki/The_Storm_Riders,1998,8/31/1998,An evil warlord takes in 2 students (Wind & Cloud) in an effort to become invincible so he can take over the world.
